country,locations
US,28969
DE,11706
FR,9782
GB,5955
IT,4432
CN,2988
CA,2837
CH,2703
IN,2485
AT,2039
NL,1807
BE,1798
ES,1487
AU,1394
JP,1386
SE,1330
PL,1141
CZ,1001
KR,952
BR,908
RU,817
IL,775
FI,766
NO,747
IE,701
MX,658
DK,517
TW,513
PT,513
HU,467
ZA,318
NZ,290
AR,276
SK,273
SI,264
PH,258
UA,246
MY,236
RO,235
GR,233
TR,223
LU,216
TH,162
ID,158
SA,152
IR,148
VN,135
VE,132
HR,131
CO,122
CL,114
LK,110
BG,101
EE,100
RS,86
LV,72
CR,70
LB,69
EG,69
PK,62
NG,62
PE,59
MT,51
LT,51
TN,50
MA,46
CY,44
KE,42
IS,38
DZ,36
CU,36
KP,35
TT,34
EC,33
BY,33
PA,31
BD,31
IQ,29
CM,28
KZ,26
UY,24
NP,23
IM,21
GE,21
OM,20
JO,20
GH,20
AM,20
MD,19
DO,19
AE,19
YE,18
TZ,18
BA,18
LI,17
HN,17
UG,16
ML,16
LR,16
CD,16
BZ,16
SL,15
MM,15
JM,15
GT,15
BO,15
BH,15
SY,14
MU,14
ME,14
UZ,13
PY,13
NE,13
BB,13
AL,13
BN,12
AD,12
ZW,11
SV,11
BS,11
SM,10
PS,9
MK,9
MG,9
KY,9
KN,9
JE,9
CI,9
BF,9
TD,8
QA,8
PG,8
MN,8
ET,8
AZ,8
SC,7
LA,7
KW,7
KH,7
KG,7
AO,7
AF,7
ZM,6
NI,6
HT,6
FO,6
VG,5
TJ,5
SO,5
SN,5
SG,5
GN,5
GL,5
FJ,5
CF,5
BM,5
AI,5
AG,5
VU,4
LC,4
GG,4
GA,4
VC,3
TG,3
TC,3
SZ,3
SD,3
RW,3
LS,3
GY,3
GM,3
ER,3
DM,3
BW,3
BI,3
TM,2
TL,2
SS,2
SR,2
SB,2
MZ,2
MW,2
LY,2
KI,2
GW,2
GD,2
FM,2
DJ,2
CV,2
CK,2
CG,2
BT,2
WS,1
TO,1
ST,1
SH,1
PW,1
PN,1
MR,1
MC,1
KM,1
IO,1
GI,1
BJ,1
